,Country,Rank,Score,Year,Life Expectancy,Trust in the gov,Economy strength,Generosity,Perceived freedom,Family,ISO
111,Iraq,112,4.677,2015,73.0909392971246,0.24982334076208076,0.5829852935956744,0.22518470121123785,0.0,0.583991213994851,IRQ
112,South Africa,113,4.642,2015,64.3557444089457,0.16096827381275933,0.5445333112480922,0.15043725184701212,0.4958266764218416,0.84485426784479,ZAF
113,Ghana,114,4.633,2015,67.6953482428115,0.07890779293725426,0.32274819275682964,0.2900814193094436,0.632224926462903,0.48461379374282393,GHA
114,Zimbabwe,115,4.61,2015,65.9088051118211,0.14638256237430017,0.16031518794145835,0.23856611549479823,0.3861406835590462,0.7365125550016758,ZWE
115,Liberia,116,4.571,2015,66.10364217252396,0.11291696109872987,0.04211970989458241,0.3061014223249736,0.4260074955579114,0.5631601092545445,LBR
116,India,117,4.565,2015,70.75396805111822,0.1538656665035966,0.38155606299026273,0.33265065085188716,0.5940602929538769,0.2722377926588363,IND
117,Sudan,118,4.55,2015,66.82207028753994,0.2656230182457285,0.30824883756699517,0.2395084686133588,0.15052334522867422,0.723162391333804,SDN
118,Haiti,119,4.518,2015,67.35049201277955,0.3111920421807904,0.15778918848570178,0.5803261798261045,0.36469920714317705,0.5298845410524664,HTI
119,Congo (Kinshasa),120,4.517,2015,59.55674121405751,0.13815658350093313,0.0,0.31203196461778154,0.33752407686679703,0.7140055483051996,
120,Nepal,121,4.514,2015,72.1884089456869,0.10702831983475566,0.21294707824091055,0.40578981756043625,0.5716034820002089,0.6165108434422313,NPL
121,Ethiopia,122,4.512,2015,68.74816613418531,0.2726531499701038,0.11282994758699022,0.30563652811981706,0.6487689068729189,0.4307852492101866,ETH
122,Sierra Leone,123,4.507,2015,56.92509904153355,0.15919262198546863,0.1953597330840856,0.2699904508217319,0.6097979782897585,0.6815643653323634,SLE
123,Mauritania,124,4.436,2015,66.55262619808308,0.3163740464930876,0.26861371730102573,0.2751671106196914,0.36181744882265987,0.6197842008800267,MRT
124,Kenya,125,4.419,2015,68.04503514376997,0.10579623489337028,0.21575111510748807,0.4717042770266874,0.630328639899661,0.7122654628698573,KEN
125,Djibouti,126,4.369,2015,66.66453674121406,0.5092315776122919,0.2604382342849706,0.227333266321556,0.6879488749197437,0.42223458348487763,DJI
126,Armenia,127,4.35,2015,76.5134696485623,0.07066369516769039,0.45444919014209484,0.09869578328391214,0.2963433025248981,0.5541958166634574,ARM
127,Botswana,128,4.332,2015,58.20683706070288,0.22601511115942816,0.5877533394067747,0.13143941297683068,0.7390291610051811,0.7877737603674148,BWA
128,Myanmar,129,4.307,2015,69.87290734824282,0.3448750702107228,0.1603625134581938,1.0,0.6572350051513296,0.5056588434137053,MMR
129,Georgia,130,4.297,2015,76.49629392971246,0.6945154101212154,0.43888501082571196,0.069696436648741,0.605871022650919,0.27500481376093794,GEO
130,Malawi,131,4.292,2015,62.9800766773163,0.12641553876537842,0.009488766105464914,0.41624365482233505,0.6428560763292669,0.2933470258088901,MWI
131,Sri Lanka,132,4.271,2015,75.9273482428115,0.16631334819082821,0.49410205747684005,0.5129919083278885,0.8022038732026338,0.7267352716744043,LKA
132,Cameroon,133,4.252,2015,63.20550798722045,0.10483593339493757,0.24993788525928468,0.2590591546464291,0.7362519224164961,0.6330416550779828,CMR
133,Bulgaria,134,4.218,2015,77.49543769968051,0.015799677483647696,0.598762437737367,0.14978388701814344,0.4567064339360637,0.788843485020289,BGR
134,Egypt,135,4.194,2015,73.48678594249202,0.11458389954883949,0.5216455082168928,0.1418681208222345,0.2581338748450868,0.5327228771314263,EGY
135,Yemen,136,4.077,2015,67.67709904153355,0.14230581073001033,0.3232865205096958,0.1147283510076896,0.5311244830006122,0.48560507192115415,YEM
136,Angola,137,4.033,2015,61.402325878594255,0.12904277871392075,0.4482791258977059,0.15509875860682515,0.15504755647798366,0.6135940608887273,AGO
137,Mali,138,3.995,2015,62.448971246006394,0.22380460582341324,0.15424569042013228,0.23619138563602554,0.5801890314007138,0.7382954294231332,MLI
138,Congo (Brazzaville),139,3.989,2015,65.25827476038339,0.21173742095631534,0.4014741898463104,0.155651605769714,0.6191450285936123,0.47274698159360445,
139,Comoros,140,3.956,2015,66.67097763578275,0.3605660343171894,0.1414204753848156,0.21914107654420265,0.3421826706284622,0.5653352160487224,COM
140,Uganda,141,3.931,2015,66.01239616613418,0.13167001866246308,0.12483288176902782,0.3652058099210936,0.6827676824989174,0.8079915563067399,UGA
141,Senegal,142,3.904,2015,68.6099552715655,0.19410773495678643,0.21591083872647035,0.2618862140021109,0.5490570827049706,0.6961696725929412,SEN
142,Gabon,143,3.896,2015,68.56486900958467,0.20095667771919334,0.6272050732953941,0.08571643966427099,0.47652038881340236,0.6456002225027277,GAB
143,Niger,144,3.845,2015,64.89758466453674,0.28336141762243844,0.04105488576803398,0.24359199879378798,0.7121078643632508,0.5510151686955777,NER
